bno,title,name,cno,allerinfo,cdate,ingredients,content,types,meterials,image
93,팥빙수팥 만드는 법,-,-,콩,2017-08-12T16:18:55+09:00,"팥 300g,설탕 240g,물 적당량","'*팥은 하루 전에 물에 담가 불려주세요.', '-불린 팥 잠길 정도 자작하게 물 부어 끓여주기', '한번 보글보글 끓으면 불을 꺼주세요.', '-삶은 물 버리기  Tip. 팥의 사포닌 성분 때문에 배탈이 날 수 있어서 이 과정은 빠트리면 안 돼요!!', '- 찬물에 헹구기', '-다시 밥할 때 물양처럼 손등에 올라올 정도의 물을 부어 삶아주기(뚜껑 덮고 진행) Tip. 끓어넘칠 수 있으니 주의하세요!', '-끓으면 설탕 넣어 졸이기 (뚜껑 열고 계속 저어주기)', '팥을 손으로 눌었을 때 뭉개지면 다 익은 거예요', '-팥 알갱이가 싫으면 도구를 이용해서 으깨주세요. 본인이 원하는 정도까지...', '-묽은 팥죽처럼 농도가 되면 완성~!!  *사진보다 더 훨씬 묽어야해요^^', '-여름이라 상하지 않게 찬물에 식혀 용기에 담아주기', '팥빙수 팥 완성~!!'",양념/소스/잼,과일류,"'https://recipe1.ezmember.co.kr/cache/recipe/2017/08/12/a1bb001b9c26cf643750c0d0b4e5e7041.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2017/08/12/a28f701e1112e2f37fa7b9755690f79b1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2017/08/12/4916edd3be55a4d83d0108b1bd007a721.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2017/08/12/99d4016077f061fcf83280b8b957fac61.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2017/08/12/ec4942b1191b1e7f9dce4c3c868658261.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2017/08/12/200c471b1dbe5fed5195db1ce8479c631.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2017/08/12/8da8fdce42fbd73ec8125bf75d43fd321.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2017/08/12/782d4ab569ae6e493510363214761bba1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2017/08/12/514e3405e89f9dc8ec520b8c656497cc1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2017/08/12/1d964a972e51b4151dfda31ec75891451.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2017/08/12/2f54657f7bac289e886e79367558ac7f1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2017/08/12/9175d6d3d84abefad5379f1ea677f2c51.jpg'"
94,한 입에 쏘~옥! 미니 카프레제,-,-,"토마토, 우유",2016-01-07T17:10:18+09:00,"방울토마토(본인먹을만큼),모짜렐라치즈(본인먹을만큼),바질 잎 약간,올리브오일,발사믹식초,소금,후추","'필요한 방울토마토, 모짜렐라 치즈, 바질잎입니다.', '스낵용으로 나온 볼 모양의 모짜렐라 치즈인데 구하기 힘들다면 모짜렐라 스트링 치즈나 덩어리로 된 치즈를 작게 잘라서 사용하셔도 됩니다', '방울토마토와 미니 모짜렐라를 비교한 사진입니다. 방울 토마토는 반으로 자르고 치즈는 삼등분해 주세요.', '꼬치에 토마토,치즈, 토마토, 치즈 순으로 재료를 끼우고 잘게 다진 바질 잎을 위에 얹어 줍니다.', '올리브오일과 발사믹 식초를 1:1로 섞어 소금, 후추로 간을 한 뒤, 꼬치 위에 뿌려 주면 완성~  참 쉽죠, 잉? 당연히 맛도 좋습니다.'",샐러드,채소류,"'https://recipe1.ezmember.co.kr/cache/recipe/2016/01/07/05f9252da45e76d280198120992f9f591.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2016/01/07/e93fcd2c48ce7bdfe29a59c44e6364e51.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2016/01/07/396a2a4ae7bb3380290b87e910e90db81.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2016/01/07/b1d44a203764cc950c7b06ea3571a00a1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2016/01/07/14de32b6786804ef83b64f949cc5f0131.jpg'"
95,크로와상 생지로 크로플 만들기 / 겉은 바삭 속은 쫄깃해요~ ,-,-,"밀, 우유, 달걀, 콩",2021-08-25T23:39:44+09:00,"크로와상 냉동생지 4개,오일,설탕,메이플시럽,시나몬가루,연유,볶은콩가루,바닐라아이스크림,견과류","'해동한 냉동생지는 랩을 씌워 실온에서  1시간 30분 정도 발효해 주세요.  * 2배 이상 부풀면 OK', '발효가 끝난 크로와상 생지에 설탕을 앞뒤로  골고루 묻혀 주세요~', '와플팬에 버터나 기름을 골고루 발라주고  앞뒤 각각 2분씩 센불에서 예열해준 후\u200b  설탕 코팅한 생지를 올려 줍니다.', '와플팬을 닫고, 중약불에서 앞뒤 각각 2분씩  총 4분 정도 색 봐가면서 구워 주세요.', '퐁실퐁실 이쁘게 부풀어 오른 크로플 ♡', '구움색도 노릇노릇 맛있게 구워졌죠 (? ? ? ? ?)', '두번째 크로플도 완성~', '두께도 도톰하니 넘 이쁘게 구워진 크로플 :)', '설탕 코팅해서 반짝반짝해요 ?', '후다닥 크로플 4개 구웠어요~', '크로플 위에 엑설런트 아이스크림을 올리고 시나몬가루를 듬뿍 뿌려 주세요~  요건 혹시 시나몬가루 안 좋아할까 봐  조금만 뿌려 줬어요 ㅎㅎ', '메이플시럽도 듬뿍 뿌려 줍니다.', '겉은 바삭바삭! 속은 쫀득!? 쫄깃해요~', '전 시나몬가루 더 뿌려 줬어요 ㅎㅎ 많이 뿌리니깐 넘넘 맛나요 ?', '요건 밀폐용기에 담아서 총 4시간 정도  실온에서 해동 & 발효해 줬어요.', '빵빵하게 부풀어 오른 크로플~', '진짜 퐁실퐁실 (? ? ? ? ?)?', '온종일 크로플만 구웠어요 ㅎㅎ', '크로플 위에 바닐라 아이스크림 올리고 메이플 시럽, 시나몬가루와 견과류 솔솔~ 시나몬 크로플 넘넘 맛있어요 ♥♥♥', '연유 인절미맛 크로플이에요. 진심 요게 제일 맛있어요~~  달콤한 연유와 콩가루의 조합  진짜 넘 맛있는 조합이에요 :D', '크로플 만들기 진짜 쉬우니깐요 꼭 한번 만들어 보세요~~'",디저트,밀가루,"'https://recipe1.ezmember.co.kr/cache/recipe/2021/08/25/bdc76dc84a1728a266eac3689fc532251.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2021/08/25/dd90dce265571859fd3e5ccee50d1e681.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2021/08/25/e2cbd5a2164e7a68b409216ad24394591.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2021/08/25/8f279ea635167704131b12b47a15e6631.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2021/08/25/5e52e4ad612b01800759bc6fba1c30eb1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2021/08/25/79a394f359e692ef5bae754c135c3b731.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2021/08/25/2856c3e49991d2aacd9080f16bb93ff71.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2021/08/25/11a0ec631bfed0d31f8a7e86725f54a41.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2021/08/25/3d456cd5cc3141be7af708e87a93152d1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2021/08/25/1e77bbf1a349a4d24ad2369bc308bd231.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2021/08/25/75cbf41eaae963790a9873aebaf223591.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2021/08/25/7f6752dc8b71278cb9a1f518c24baa6b1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2021/08/25/3a463395a9b0c22b67133892dde8b6e11.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2021/08/25/b90f1d750ef698ad90ad385b14cfc2a61.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2021/08/25/806c1432c97f9bca6dd031e4a418c4991.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2021/08/25/436f1af9194f48e87dc6aba6d2e1e1841.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2021/08/25/7ab411df953da733871fec66341fe0901.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2021/08/25/3509b9b27732b559aa7541e23a476e6c1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2021/08/25/c33b8b063703856515011fed70e8eb651.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2021/08/25/51cf29fb8abe14bf762bcb6b9dd17a861.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2021/08/25/db04fdfd641da1623a592be935c6b2201.jpg'"
96,또띠아로 만드는 건강한 요리 '시금치 플랫브레드 피자' 만들기,-,-,"밀, 토마토, 우유, 달걀",2018-01-16T01:19:43+09:00,"8인치 또띠아 1장,시금치 (잎 부분) 30g,베이컨 2줄,방울 토마토 2개,양파 1/5개,파마산 치즈가루 1TS,마요네즈 2TS,레몬즙 1ts,꿀 1ts","'시금치는 잎 부분만 떼어 깨끗하게 씻은 뒤 물기를 털어 준비한다', '소스 재료를 볼에 넣고 섞어 소스를 만든다', '베이컨은 길게 썰고 양파는 다지고 토마토는 굵게 다진다', '달군 팬에 베이컨을 넣어 바삭하게 볶은 뒤 잠시 덜어둔다', '같은 팬에 다진 양파를 넣고 투명해지도록 볶는다', '또띠아는 달군 팬에 올려 살짝 데우고 그 위에 소스를 바른 뒤 시금치, 토마토, 베이컨, 양파를 올린다 파마산 치즈가루를 뿌려 마무리 한다'",약식,곡류,"'https://recipe1.ezmember.co.kr/cache/recipe/2018/01/16/ca698209c29282403ca54e854b5e2dd21.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2018/01/16/afc5a9678ee6412ec2787357b6e9be981.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2018/01/16/a301404ebb3dac004b58f534fad0e2231.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2018/01/16/b7515ad40245dc5f85f6e8a80b30134e1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2018/01/16/4f8c39e20195334e66a842dce8b747411.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2018/01/16/c57e66fa613b9358f999e97cd0ce72b61.jpg'"
97,감자스프 - 백종원 감자스프 만드는 법,-,-,"우유, 밀",2017-08-04T15:20:38+09:00,"삶은 감자 2개,우유 2컵,양파 1/2,버터 1조각,소금,식빵(옵션)","'감자 2개를 삶아 준비해 주세요.  다 익은 감자는 껍질을 벗겨주고 적당한 크기로 썰어 주세요.', '팬에 버터 1조각을 녹여주고', '양파 1/2를 채 썰어 녹인 버터에 볶아줍니다.', '양파가 노르스름하게 잘 볶아지면 냄비에 담고   삶아 놓은 감자도 썰어 함께 넣고  우유 2컵을 넣어주세요.  감자 1개당 우유 1컵 분량으로 넣어 주심데요 (종이컵 계량)', '그리고 곱게 갈아주면 돼요.  믹서기를 사용하시면 됩니다  * 양파, 감자는 한 김 식혀서 믹서기에 넣고 갈아주세요', '곱게 갈아 놓은 감자스프를 보글보글 끓여주세요.  여기에 소금으로 간을 해주심 돼요.  드시는 분 입맛에 맞게 간해주세요.', '함께 먹음 좋을 것 같아 식빵을 노릇노릇하게 구워 주었어요.  냉동실에 얼려둔 식빵 소환 ㅎㅎ  2장을 큐브 모양으로 잘라 주세요.  팬에 버터 1조각을\xa0 녹여주고', '잘라 놓은 식빵을 넣고 바삭하게 구워 줍니다.', '감자수프를 그릇에 담고 바삭 튀겨놓은 식빵을 올려주고  파슬리, 후추 톡톡 뿌려 맛있게 먹으면 됩니다.'",스프,채소류,"'https://recipe1.ezmember.co.kr/cache/recipe/2017/08/04/07b80a032a1d72a14fc3bd03afcfcd9e1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2017/08/04/135c8205fc6a9f09bddc484ee216c0b91.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2017/08/04/213412f058c4f4078bcc31fd8cf2e0991.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2017/08/04/7dcca7e17b777b87bb8b95dc08259a7b1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2017/08/04/35127150a45bdca5868effc76a6ecf821.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2017/08/04/5bdc877c998697ae512b38ab769a2dd81.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2017/08/04/969002cebb938e4971c64620a13182461.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2017/08/04/d29304cdf71eedd281d5cf2188dbb51f1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2017/08/04/ae4edec32324b5adc491e7f7df168be51.jpg'"
98,단호박 콘스프(옥수수스프),-,-,우유,2015-08-17T13:13:29+09:00,"옥수수 3개,단호박 1/2개,버터 1스푼,우유,소금 조금,설탕 조금","'옥수수는 삶아서 알맹이만 따로 분리 한단 안 삶아도 되지만 그럼 긇이는 시간이 너무 오래걸리기에 삶은 옥수수가 만들기 편리하다 옥수수통조림으로도 가능하다', '옥수수는 버터에 한번 볶아주고 단호박은 약간의 소금만넣고 익히기위해 삶아준다', '단호박이 익으면 옥수수와 같이 곱게 갈아 준다음 우유로 농도를 맞추어서 한번 더끓여 낸다 버터의 짠맛과 단호박의 단맛이 어울어져 소금이나 설탕간은 미리 하지 않고 마지막에 간을하는게 좋다'",스프,기타,"'https://recipe1.ezmember.co.kr/cache/recipe/2015/08/17/34d2d37477d550361df10521cba4a6a61.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2015/08/17/24174c8c7c891f45e2437f943ce20a991.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2015/08/17/abfbda81bda28f320b0252bc983e3ab11.jpg'"
99,먹어도 먹어도 또 먹고 싶어지는 즉석떡볶이,-,-,"밀, 달걀, 생성, 대두, 굴",2012-05-07T07:46:46+09:00,"떡볶이떡 20개,양파 1/2개,파 1대,양파 2~3장,당근 1토막(4cm 길이),떡국떡 1/2줌,라면사리 1개,모둠 어묵 1봉지,고추장 2+ 1/2큰술,고춧가루 2큰술,간장 2큰술,굴소스 1큰술,조청 2큰술,매실액 2큰술,후추 약간","'양파, 양배추는 채썰고 파는 어슷썰고, 딩근은 통썰기를 합니다.', '양념장 : 고추장 2+ 1/2큰술, 고춧가루 2큰술, 간장 2큰술, 굴소스 1큰술, 조청 2큰술, 매실액 2큰술, 후추룰 섞어 둡니다.', '어묵은 끓는물에 살짝 데쳐 둡니다. 리면도 끓는물에 살짝 데쳐 찬물에 헹구어 쫄깃쫄깃한 상태로 둡니다.', '멸치육수에 양념장을 1/3만 넣고 끓어 오르면 3분정도 끓여 졸여 줍니다.', '냄비나 팬에 재료들을 가지런히 놓고 남은 양념장 1/2만 라면 위에 놓습니다. 끓인 국물을 붓고 보글 보글 끓어오르면 남은 양념을 라면을 제외한 재료들 위에 발라 졸여 주세요. 요렇게 하시면 아래 사진처럼 빨간 즉석떡볶이를 드실 수 있답니다.', '다 먹고 난 후 치즈볶음밥을 포기할 순 없죠. 밥, 김치, 모짜렐라치즈, 김을 준비해 주세요. 김치와 잘게 다져 주시고, 김은 가위로 잘게 잘라 주세요. 밥이 어느 정도 볶아지면 밥을 골고루 펴 주시고 위에 치즈를 조금 더 뿌린 후 뚜껑덮고 치즈가 녹을 동안 기다립니다. 요때 참 기다리기 힘들죠. 한숟가락 먹고 싶어 침이 꿀꺽 넘어가죠'",밥/죽/떡,쌀,"'https://recipe1.ezmember.co.kr/cache/recipe/2015/07/14/44633da90af515124588a5a7f8cc4b8c1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2015/07/14/e2bb53a6476cd9364e0677781c4364501.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2015/07/14/a16fb3fcba79911dcd6a1772cafc92c01.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2015/07/14/444ecd83c3bbe7ad5e298453fe98da271.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2015/07/14/de48f76dbc3f37b39e05c994e101eeed1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2015/07/14/08f9ac54eb5db6deafc00da639947e541.jpg'"
100,옥수수가 톡톡 콘치즈 김치볶음밥 만들기,-,-,"우유, 대두, 새우",2018-09-12T20:37:14+09:00,"밥 1공기,배추김치 100g,피자치즈 종이컵 1/2컵,콘옥수수 2큰술,청양고추(생략가능) 2개,간장 1티스푼,설탕 1티스푼,참기름 또는 참기름 3큰술,고춧가루 1큰술,통깨 1/2티스푼","'재료를 준비해주세요~.', '배추김치를 물에 한번 헹궈준뒤 잘게 다져주세요~. (헹구지않아도 됩니다~.)', '청양고추도 총총 썰어주세요~.', '팬에 다져놓은 배추김치와 양념재료를 넣고 중불에서 2분간 볶아주세요~.', '밥을 넣고 중불에서 2분간 밥알이 한올한올 깨질때까지 볶아주세요~.', '센불로 올린 후에 썰어놓은청양고추를 넣고 1분간 볶아주세요~.', '잘볶아진 김치볶음밥을 밥공기에 꾹꾹 눌러담아주세요~. (뜨거우니 조심조심해주세용♡)', '팬에 밥공기에 담은 김치볶음밥을 뒤집어 놓아주세요~.', '볶음밥 주변에 피자치즈와 콘옥수수를 뿌려주세요~.', '냄비뚜껑을 닫고 중불에서 3분정도  치즈를 녹여주세요~.', '치즈가 다 녹으면 완성이랍니다~.'",밥/죽/떡,쌀,"'https://recipe1.ezmember.co.kr/cache/recipe/2018/09/12/f5e72d0f26e39394e915c0fa6ee9499e1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2018/09/12/8b0a6dcc62072c4c149a48ba996c35fe1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2018/09/12/74dbc50ebb23765b5fe75728153ed4931.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2018/09/12/50af190b451aaf2324a6cb83f5cd96d51.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2018/09/12/39885d5a2e2d129754b0d8e1d84eccdc1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2018/09/12/10b51f29194547d9427f7733e3e6b47b1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2018/09/12/649d71cbfe24814cd086861551b115311.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2018/09/12/875b6b107c18bc79f0b57728327aa5b81.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2018/09/12/f28ebd53c727b9efd5290525ae7f2f521.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2018/09/12/5e171d5276b0053a8f639e6eaff457231.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2018/09/12/5963fd388823b5133f6013ff623aca7d1.jpg'"
101,믹스커피로 간단하게 아이스 카페모카 만들기,-,-,우유,2016-08-29T03:03:17+09:00,"믹스커피 (연아커피) 2개,코코아 가루 1T,흰 우유 200ml,연유 1T,각얼음 적당량","'\u200b컵에 연아 커피 두 봉지를 넣어 주세요.', '이어서 \u200b코코아 1 큰 술을 넣어 주세요.', '우유 200ml 중 아주 적은 양을 전자렌지에 돌려 따뜻하게 데운 후 \u200b컵에 부어 주세요.', '그리고 가루가 녹도록 잘 저어 주세요.  뭉친 가루가 안 보일 정도로 저어주셔야 해요.', '뭉친 가루가 안 보일 정도로 다 녹았으면  남은 흰 우유를 부어 주세요.', '\u200b연유 또는 설탕 1 큰 술을 넣고 잘 섞어 주세요.', '\u200b마지막으로 각 얼음 넣어주면 완성이에요.'",차/음료/술,기타,"'https://recipe1.ezmember.co.kr/cache/recipe/2016/08/29/61db1eb318c9bbd5b3cb8aaa790237f21.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2016/08/29/80f10351c0e7e1915174fb63e78b0cf81.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2016/08/29/4b3c748ace48478e94788b99c7c6a9461.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2016/08/29/b5c4d70ecf6d3020e72aac10ca3546361.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2016/08/29/3fdc7d5fb39b790d0016b0f56689172b1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2016/08/29/8a83a8881e86fb11e3ce877f44c92bc11.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2016/08/29/959e3e954a35e53bafe883f583ae31dd1.jpg'"
102,아포카토,-,-,우유,2020-03-10T19:19:41+09:00,"커피 40g,아이스크림 아이스크림수저로2숟가락,잔 1개,종이컵 1개,물 20g","'커피를 종이컵에 물 과 함께 섞어주세요', '아이스크림을 컵에 동그락개 넣어주세요', '아이스크림위에커피를부워주세요'",차/음료/술,기타,"'https://recipe1.ezmember.co.kr/cache/recipe/2020/03/10/a984e99f8ae13f47acff591cd6e32c441.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2020/03/10/9ee50aa442ccb5935c05ea3413cfcf551.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2020/03/10/2bbec1937003721c30c74fc7aa7f12eb1.jpg'"
103,핸드드립으로 아이스라떼 만들기,-,-,우유,2015-03-23T09:50:07+09:00,"에스프레소 1샷(30ml),우유 150ml,얼음 150ml,커피시럽(취향에 따가 가감) 21ml","'에스프레소를 추출해야 합니다.  에스프레소 추출하는 가장 간편한 방법은 캡슐커피 머신입니다. 그리고 손이 많이 가지만 나만의 커피맛을 낼 수 있는 기다림의 미학,  핸드드립이 있습니다.  핸드드립 도구는 왼쪽부터 드리퍼, 핸드밀, 드립 서버, 종이필터, 그리고 사진에는 없지만.. 드립 서버 주전자가 있어야 합니다.', '핸드밀로 커피 분쇄하기.  일반적으로 핸드드립은 에스프레소 머신의 커피 분쇄 정도보다 더 굵다고 합니다. 너무 가늘게 분쇄된 커피는 핸드드립을 하기에 적당하지 않다고 보더라고요. 어쨌든.. 한 서랍(?) 정도가 1인분 정도라고 보면 됩니다.', '종이필터 접기. 아래쪽과 옆쪽의 여분을 다른 방향으로 접어야 드리퍼에 꽂았을 때  들뜨지 않고 착 밀착됩니다.', '드리퍼에 종이필터 끼우기.', '뜨거운 물로 종이필터 적시기. 이 과정을 무시하는 분들이 계신데, 종이필터 특유의 냄새가 커피 본연의  맛을 해칠 수 있기 때문에 되도록이면 하셔야 하는 과정입니다.  이 과정을 통해 드립 서버도 따뜻한 온도로 데울 수 있습니다.  적신 물은 버려 주세요.  이때 사용하는 물의 온도는 90℃가 적당하다고 합니다.', '커피 뜸들이기. 분쇄커피를 넣고 뜨거운 물을 가운데에서 부터 시작해서 원을 그리면서 바깥쪽으로 흘려 주세요.이 때 물의 양은 커피를 적시는 정도로만 하면 됩니다.', '커피 추출하기.  2차에 걸쳐 뜨거운 물을 넣고 커피를 추출해 주시면 됩니다.  그리고 취향에 맞게 뜨거운 물을 타서 마시면 되는데  전 아이스라떼를 만들 거라 그대로 사용했습니다.', '찬 우유에 에스프레소 1샷을 넣어 주세요.  전 핸드드립이라 조금 더 넣어 주었습니다.  개인의 취향에 맞게 넣으세요.', '시럽도 취향에 맞게 넣어 주세요. 그리고 얼음을 넣고 잘 저어 주세요.'",차/음료/술,기타,"'https://recipe1.ezmember.co.kr/cache/recipe/2015/05/20/638f201307162ff51cd2ebe54fcdf2091.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2015/05/20/8d41665dcf59f10c622ff4e3696fbb3d1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2015/05/20/f56876189594c22e9aa2c102681a3f8f1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2015/05/20/d28286b9fa01bf41cf021ce2026582221.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2015/05/20/1c34df0cd30caa76277bb350afe09c001.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2015/05/20/f6f9738ca5da3e51fe70b54c6626ee071.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2015/05/20/511bda5f4d8bf906a52e54f33e63530a1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2015/05/20/55a0a7ee0749124f7cf2364640161e3d1.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2015/05/20/48dc237d297b306064e439ff8c0f51491.jpg'"
104,아이스카페모카 한 잔이면 우리집이 바로 카페!,-,-,우유,2018-09-10T15:44:51+09:00,"인스턴트원두커피 2개,따뜻한물 2숟가락,우유 170ml,초코시럽 1~2숟가락,얼음,생크림,초코시럽 약간","'인스턴트 원두커피에 따뜻한 물을 넣고 섞는다.', '1에 초콜릿소스를 넣고 섞는다.', '얼음, 우유를 넣는다.', '생크림을 올리고 초코시럽을 뿌려 완성한다.'",차/음료/술,기타,"'https://recipe1.ezmember.co.kr/cache/recipe/2018/09/10/1a7fe470dbf1216835bea17e311d26ff1.png', 'https://recipe1.ezmember.co.kr/cache/recipe/2018/09/10/e7afc0db850eed04fa755dde7c37adfe1.png', 'https://recipe1.ezmember.co.kr/cache/recipe/2018/09/10/98cb18d1ef0a472c457bdb8838067c8d1.png', 'https://recipe1.ezmember.co.kr/cache/recipe/2018/09/10/8b87fcd22a0c154e44f8dc80f73052941.png'"
105,아이스카페라떼 ☆ 아이스는 데스티니 ~ ☆,-,-,우유,2018-12-19T14:20:34+09:00,"우유 180ml,따뜻한 물 2숟가락,인스턴트 원두커피 2개,얼음","'컵에 인스턴트 원두커피와 따뜻한 물을 넣고 섞는다.', '컵에 얼음, 우유를 넣는다.', '커피물을 부워 완성한다.'",차/음료/술,기타,"'https://recipe1.ezmember.co.kr/cache/recipe/2018/12/19/081bef518755cadd9367085fa86e7e401.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2018/12/19/d663c46a0e0a93ce062c668c10a103281.jpg', 'https://recipe1.ezmember.co.kr/cache/recipe/2018/12/19/2fd38e61f4cb6c752a438e72c4b4ab301.jpg'"
